Current Board,Optimal Move
002021201,102021201
002021210,102021210
002021211,202021211
002022011,102022011
002022101,102022101
002022110,102022110
002022111,202022111
002100000,002100020
002100001,202100001
002100002,012100002
002100010,202100010
002100012,202100012
002100020,012100020
002100021,002102021
002100100,202100100
002100102,202100102
002100112,002102112
002100120,202100120
002100121,202100121
002100122,012100122
002100200,102100200
002100201,202100201
002100210,202100210
002100211,002120211
002100212,102100212
002100221,012100221
002101000,002121000
002101002,202101002
002101012,002121012
002101020,202101020
002101021,002121021
002101022,102101022
002101102,202101102
002101120,202101120
002101122,202101122
002101200,202101200
002101201,002121201
002101202,102101202
002101210,002121210
002101212,202101212
002101220,102101220
002101221,202101221
002102000,002112000
002102001,002102021
002102010,202102010
002102011,002102211
002102012,102102012
002102021,012102021
002102100,202102100
002102101,202102101
002102102,012102102
002102110,002102112
002102112,202102112
002102120,012102120
002102121,202102121
002102201,012102201
002102210,102102210
002102211,202102211
002110000,002112000
002110002,202110002
002110012,002112012
002110020,202110020
002110021,202110021
002110022,102110022
002110102,002112102
002110120,202110120
002110122,202110122
002110200,202110200
002110201,202110201
002110202,102110202
002110210,202110210
002110212,202110212
002110220,102110220
002110221,002112221
002111002,202111002
002111020,202111020
002111022,202111022
002111122,202111122
002111200,202111200
002111202,202111202
002111212,202111212
002111220,202111220
002111221,202111221
002111222,102111222
002112000,202112000
002112001,202112001
002112002,102112002
002112010,002112012
002112012,202112012
002112020,012112020
002112021,002112221
002112100,002112102
002112102,202112102
002112112,202112112
002112120,202112120
002112121,202112121
002112122,012112122
002112200,102112200
002112201,002112221
002112210,202112210
002112211,202112211
002112212,102112212
002112221,012112221
002120000,002121000
002120001,202120001
002120010,202120010
002120011,002120211
002120012,012120012
002120021,002121021
002120100,202120100
002120101,202120101
002120102,012120102
002120110,202120110
002120112,022120112
002120120,012120120
002120121,202120121
002120201,102120201
002120210,102120210
002120211,202120211
002121000,202121000
002121001,002121201
002121002,012121002
002121010,002121210
002121012,022121012
002121020,002121021
002121021,202121021
002121100,202121100
002121102,022121102
002121112,202121112
002121120,202121120
002121121,022121121
002121122,012121122
002121200,102121200
002121201,202121201
002121210,202121210
002121211,202121211
002121212,102121212
002121221,102121221
002122001,012122001
002122010,012122010
002122011,202122011
002122100,012122100
002122101,202122101
002122110,202122110
002122111,202122111
002122112,012122112
002122121,012122121
002122211,102122211
002200001,002201001
002200010,002201010
002200011,202200011
002200100,002201100
002200101,002200121
002200110,202200110
002200111,202200111
002200112,102200112
002200121,012200121
002200211,002201211
002201000,102201000
002201001,002201021
002201010,002201012
002201011,002201211
002201012,102201012
002201021,012201021
